Season No.,Episode No.,Episode Name,Character,Line
1,1,Pilot Episode,Sheldon,"So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it’s unobserved it will, however, if it’s observed after it’s left the plane but before it hits its target, it will not have gone through both slits."
1,1,Pilot Episode,Leonard,"Agreed, what’s your point?"
1,1,Pilot Episode,Sheldon,"There’s no point, I just think it’s a good idea for a tee-shirt."
1,1,Pilot Episode,Leonard,Excuse me?
1,1,Pilot Episode,Leonard,"One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that’s Port-au-Prince. Haiti."
1,1,Pilot Episode,Leonard,"Yes. Um, is this the High IQ sperm bank?"
1,1,Pilot Episode,Sheldon,I think this is the place.
1,1,Pilot Episode,Leonard,Thank-you. We’ll be right back.
1,1,Pilot Episode,Sheldon,"Leonard, I don’t think I can do this."
1,1,Pilot Episode,Leonard,"What, are you kidding? You’re a semi-pro."
1,1,Pilot Episode,Sheldon,"No. We are committing genetic fraud. There’s no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
1,1,Pilot Episode,Leonard,"Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
1,1,Pilot Episode,Sheldon,"I know, and I do yearn for faster downloads, but there’s some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn’t know if he should use an integral or a differential to solve the area under a curve."
1,1,Pilot Episode,Leonard,I’m sure she’ll still love him.
1,1,Pilot Episode,Sheldon,I wouldn’t.
1,1,Pilot Episode,Leonard,"Well, what do you want to do?"
1,1,Pilot Episode,Sheldon,I want to leave.
1,1,Pilot Episode,Leonard,Okay.
1,1,Pilot Episode,Sheldon,What’s the protocol for leaving?
1,1,Pilot Episode,Leonard,"I don’t know, I’ve never reneged on a proffer of sperm before."
1,1,Pilot Episode,Sheldon,Let’s try just walking out.
1,1,Pilot Episode,Leonard,Okay.
1,1,Pilot Episode,Sheldon,Bye-bye
1,1,Pilot Episode,Leonard,See you.
1,1,Pilot Episode,Sheldon,Are you still mad about the sperm bank?
1,1,Pilot Episode,Leonard,No.
1,1,Pilot Episode,Sheldon,You want to hear an interesting thing about stairs?
1,1,Pilot Episode,Leonard,Not really.
1,1,Pilot Episode,Sheldon,"If the height of a single step is off by as little as two millimetres, most people will trip."
1,1,Pilot Episode,Leonard,I don’t care. Two millimetres? That doesn’t seem right.
1,1,Pilot Episode,Sheldon,"No, it’s true, I did a series of experiments when I was twelve, my father broke his clavicle."
1,1,Pilot Episode,Leonard,Is that why they sent you to boarding school?
1,1,Pilot Episode,Sheldon,"No, that was the result of my work with lasers."
1,1,Pilot Episode,Leonard,New neighbour?
1,1,Pilot Episode,Sheldon,Evidently.
1,1,Pilot Episode,Leonard,Significant improvement over the old neighbour.
1,1,Pilot Episode,Sheldon,"Two hundred pound transvestite with a skin condition, yes she is."
